0041411E;__isdigit_l
0041416D;_isdigit
00414196;__isxdigit_l
004141EA;_isxdigit
00414215;__isspace_l
00414264;_isspace
0041428D;__ispunct_l
004142DC;_ispunct
00414305;__isalnum_l
00414359;_isalnum
00414384;__isprint_l
004143D8;_isprint
00414403;__iscntrl_l
00414452;_iscntrl
0041447B;__freea
004144A0;_strrchr
004144CD;__tolower_l
004145E4;_tolower
00414760;_memcpy_0
00414AC5;__fptostr
00414B82;___dtold
00414C3D;__fltout2
00414CD0;__alldvrm
00414DB0;__aullshr
00414DCF;__fptrap
00414DD8;_has_osfxsr_set
00414E28;__get_sse2_info
00414E95;__isctype_l
00414F50;__allmul
00414F90;__aulldvrm
00415025;_V6_HeapAlloc
00415074;_malloc
00415137;__lseeki64_nolock
004151BA;__lseeki64
004152D3;__write_nolock
00415899;__write
00415975;__getbuf
004159B9;__isatty
00415A1D;___initstdio
00415ACE;___endstdio
00415AEE;__lock_file
00415B2A;__lock_file2
00415B58;__unlock_file
00415B8E;__unlock_file2
00415BB8;__fileno
00415BE5;_printf
00415C94;__get_printf_count_output
00415CAA;__wctomb_s_l
00415E09;_wctomb_s
00415E24;__isleadbyte_l
00415E5A;_isleadbyte
00415E68;_iswdigit
00415E76;_iswspace
00415E84;__output_s_l
00416834;___report_gsfailure
00416938;__calloc_impl
00416A56;_calloc
00416A95;_realloc
00416CB0;__recalloc
00416D2C;?__crtLCMapStringA_stat@@YAHPAUlocaleinfo_struct@@KKPBDHPADHHH@Z
004170CE;___crtLCMapStringA
00417111;?__crtGetStringTypeA_stat@@YAHPAUlocaleinfo_struct@@KPBDHPAGHHH@Z
004172C9;___crtGetStringTypeA
00417309;__free_lc_time
00417499;___free_lconv_num
004174D9;___free_lconv_mon
00417562;____lc_codepage_func
00417588;__store_str
004175A8;__store_num
00417621;?_expandtime@@YAHPAUlocaleinfo_struct@@DPBUtm@@PAPADPAIPAU__lc_time_data@@I@Z
00417A07;?_store_winword@@YAHPAUlocaleinfo_struct@@HPBUtm@@PAPADPAIPAU__lc_time_data@@@Z
00417E64;__Strftime_l
00418013;_strftime
00418030;_localeconv
00418060;_strcspn
004180A6;_strncmp
00418170;_strpbrk
00418C34;___strgtold12_l
004192F4;_$I10_OUTPUT
00419BBA;__set_osfhnd
00419C37;__free_osfhnd
00419CB8;__get_osfhandle
00419D29;___lock_fhandle
00419DC9;__unlock_fhandle
00419DEB;__alloc_osfhnd
00419F8A;__putwch_nolock
0041A04C;__mbtowc_l
0041A15F;_mbtowc
0041A176;__fcloseall
0041A215;__flush
0041A277;__fflush_nolock
0041A2B9;_flsall
0041A393;_fflush
0041A3EF;__stbuf
0041A485;__ftbuf
0041A4B4;__iswctype_l
0041A536;_iswctype
0041A5A4;___ansicp
0041A5EB;___convertcp
0041A851;__tzset_nolock
0041AB9A;_cvtdate
0041AD8F;__isindst_nolock
0041AF3D;___tzset
0041AF8C;__isindst
0041AFCD;___ascii_stricmp
0041B002;__stricmp_l
0041B0D5;__stricmp
0041B125;__strnicmp_l
0041B215;__strnicmp
0041B271;___mtold12
0041B43D;___initconout
0041B45C;___termcon
0041B489;_wcslen
0041B49F;__fclose_nolock
0041B511;fclose
0041B58D;__commit
0041B66E;?__crtGetStringTypeW_stat@@YAHPAUlocaleinfo_struct@@KPB_WHPAGHH@Z
0041B892;___crtGetStringTypeW
0041B8D0;_getenv
0041B951;_getenv_0
0041B9E0;___ascii_strnicmp
0041BA41;__close_nolock
0041BAD5;__close
0041BBA2;__freebuf
0041BBCE;__mbsnbicoll_l
0041BCBA;__mbsnbicoll
0041BCD1;___wtomb_environ
0041BD66;_strnlen
0041BD80;?__crtCompareStringA_stat@@YAHPAUlocaleinfo_struct@@KKPBDH1HH@Z
0041C109;___crtCompareStringA
0041C149;__strnicoll_l
0041C241;_findenv
0041C28E;_copy_environ
0041C2EB;___crtsetenv
0041C537;__strdup
0041C587;__mbschr_l
0041C641;__mbschr
0041C654;GetProcAddress
0041C679;FreeEnvironmentStringsW
0041C69E;WideCharToMultiByte
0041C6C3;GetEnvironmentStringsW
0041C6E8;GetCPInfo
0041C70D;IsValidCodePage
0041C732;MultiByteToWideChar
0041C77C;LCMapStringW
0041C7A1;GetStringTypeW
0041C7C6;WriteConsoleW
0041C7EB;CompareStringW
0041CC02;LdrUnloadDll
0041CD64;GetCPInfo_0
0041CDB9;GetProcAddress_0
0041CE05;IsValidCodePage_0
0041CE35;MultiByteToWideChar_0
0041CE65;WideCharToMultiByte_0
0041CEAF;EnableWindow
0041CEDF;GetClipboardData
0041CF0F;GetPropA
0041CF3F;GetWindowLongA
0041CF6F;MessageBoxW
0041CF9F;RemovePropA
0041CFCF;SetPropA
0041CFFF;SetWindowLongA
0041D04E;RtlUnwind
0041D0B0;s_0___1
0041D600;Ogg_Context_FreeBlocks
0041D930;std_string_construct
0041DDA0;Ogg_DecompressToWav
0041E430;MpqMgr__InitializeBaseArchives
0041EBB0;GetRaceNameById
0041ECC0;GetTrialListPath
00421630;DataPreload
00421720;SFile__CloseArchive
00421750;SFile__DisableSFileCheckDisk
00421760;SFile__EnableDirectAccess
004217C0;SFile__FileIsLocal
00421880;SFile__GetBasePath
004218B0;SFile__GetDataPath
004218C0;SFile__GetFileSize
00421950;SFile__OpenArchive
00421A10;SArchive_0
00421A80;SFile__SetBasePath
00421AF0;SFile__SetDataPath
00421BB0;SFile__SetFilePointer
00421CA0;SFile__Unload
00421F50;ARCHIVE
00421FA0;_SFileCloseArchive
00421FF0;_SFileLoadFileEx
00422040;_SFileOpenArchive
00422090;_SFileUnloadFile
004220B0;SFile__SetStreamingStatus
00422100;SFile__InitializeStreaming
00422130;SFile__IsStreamingMode
00422150;SFile__GetErrorDetails
00422160;s_0___2
00422330;SFileImpl
00422530;SFile__Read
00422910;SFile__Close
00423610;AutoBigMemoryBlock
00423810;TSL_StringPairList_Clear
00423D70;SFile__RebuildHash
00424280;SFile__ArchiveDiscoveryCallback
00424610;SFile__DiscoverArchivesInDirectory
00424B10;SFile__FileExistsEx
00424B50;SFile__OpenEx
00424E80;SFile__Load
00424F50;SFile__LoadFile
00424F80;SFile__Open
00424FA0;SFileProcessListfile
00426A30;Blizzard__Mopaq__SFileGetLastError
004270D0;Blizzard__Debug__ErrorStackAsText
004270F0;Blizzard__File__Close
00427130;Blizzard__File__Delete
00427170;Blizzard__File__Exists
004271D0;Blizzard__File__GetFileInfo
00427250;Blizzard__File__GetFileInfo@2
004272C0;Blizzard__File__GetFileInfo@3
004273A0;Blizzard__File__GetPos
00427410;Blizzard__File__GetRootChars
00427470;Blizzard__File__GetWorkingDirectory
